The results are ordered in the same order as in c_rc_df (according to protein name),,,,,,,,
pos_1_res4_nt,pos_2_res4_nt,pos_3_res4_nt,pos_1_res7_nt,pos_2_res7_nt,pos_3_res7_nt,pos_1_res12_nt,pos_2_res12_nt,pos_3_res12_nt
0.794931855,0.153261689,0.741474058,0.603742124,0.181896173,0.824635158,0.744755798,0.172655148,0.938192156
-0.921566055,0.113168202,0.681494567,-0.514198086,0.307949969,0.397865892,-0.525150671,0.130378928,0.406886735
0.99719942,0.820159374,0.842531664,0.997629774,0.888318288,0.403617686,0.99762558,0.902327728,0.451937733
0.66535327,0.626710342,0.998657783,0.396517399,0.351589696,0.999401655,0.559248839,0.508704671,0.984051663
0.809999044,-0.30759211,0.397286877,0.82678193,-0.268028873,0.707427357,0.582420933,-0.295480857,0.922102129
0.747543415,0.987620001,0.997054208,0.382090665,0.999158204,0.986886734,0.030007868,0.999391618,0.99812005
0.698034302,-0.362338128,0.31290564,0.883077127,-0.168707387,0.131795538,0.595145039,-0.222815824,-0.105173172
0.986429937,0.740021844,0.835122018,0.981459266,0.734970367,0.860705476,0.964496169,0.439680868,0.953707313
0.999368274,0.468843643,0.822574349,0.998068656,-0.451094426,0.943697376,0.999814074,0.67570374,0.985208229
0.999533774,0.55849289,0.627458285,0.998708192,0.767134329,0.931033018,0.999509778,0.62298634,0.704264954
0.025515362,0.959048366,0.948177304,-0.072804111,0.835198372,0.990797949,0.267952944,0.877066867,0.99629795
0.953949243,0.797748695,-0.426643929,0.987651029,0.988506018,-0.034723123,0.9845384,0.864851302,-0.419973502
0.97465448,0.930818221,0.175624289,0.997465207,0.978080877,0.024729984,0.99790783,0.974764907,-0.223947546
0.872201736,0.706708222,0.999383774,0.888257165,0.93417456,0.985918174,0.679986006,0.89248855,0.985518822
0.550365051,-0.126002013,0.813136277,0.519300673,0.852819789,0.90372391,0.596005748,0.335200598,0.957216752
0.266884412,0.849768915,0.999867423,0.350647085,0.983960505,0.998339085,0.621996192,0.991720144,0.995341935
0.89707635,0.899660084,0.482600117,0.880190563,0.917450361,0.305627857,0.914383264,0.844286275,0.730477557
0.998661987,0.90419275,-0.431895488,0.996699985,0.958581574,-0.360815676,0.965529621,0.974971829,-0.404375082
0.667161199,0.999862018,0.99057278,0.996162746,0.999917577,0.998807506,0.868594036,0.999766306,0.996885695
0.363906474,0.989649325,0.053764948,0.625870071,0.984597285,0.107147576,0.279660485,0.993873015,0.158386646
0.931028065,0.967203977,0.957984776,0.987498093,0.970229924,0.985560973,0.995237988,0.976050819,0.881452206
0.335308551,0.957708508,0.277167822,0.527230856,0.97021033,0.050075429,0.284813804,0.956379532,-0.049864094
