The results are ordered in the same order as in c_rc_df (according to protein name),,,,,,,,
pos_1_res4_ret,pos_2_res4_ret,pos_3_res4_ret,pos_1_res7_ret,pos_2_res7_ret,pos_3_res7_ret,pos_1_res12_ret,pos_2_res12_ret,pos_3_res12_ret
0.1164403,0.585650539,0.997244194,0.05482567,0.587945792,0.998532341,0.345639335,-0.00590928,0.995596771
0.471920856,0.812686319,0.999979595,0.533348846,0.810275804,0.999072356,0.899502999,0.887991972,0.999823071
0.930871189,0.856684892,0.928508218,0.9428298,0.871150618,0.935764034,0.971473154,0.881424638,0.933066877
0.382444339,-0.130775328,0.976642385,0.44002884,-0.191609934,0.982576271,0.453146126,-0.100107355,0.967034115
-0.273630133,0.988813314,0.960465099,-0.344409661,0.993449502,0.830941283,-0.257084974,0.995506428,0.894003047
0.915781776,0.531023051,0.504069185,0.926418575,0.787319444,0.995067382,0.943696732,0.831406466,0.595207641
-0.663828317,0.613678125,0.729019985,0.055701557,0.211781794,0.68238407,-0.834261811,0.31684595,0.65492329
0.99957623,0.982407811,0.885888593,0.978079995,0.58797184,0.999967498,0.990911516,0.964369589,0.769008445
0.917911709,0.750931065,0.994817522,0.978346581,0.599972604,0.998099489,0.949092666,-0.714849188,0.999585956
0.850238666,0.106703462,0.861905248,0.936870112,0.639176887,0.229559116,0.986021943,0.690261916,0.912837587
0.970077462,0.972194438,0.758030355,0.927832516,0.996801182,0.963901185,0.453258097,0.995639057,0.73662987
0.534309451,0.541487666,0.115584065,0.926004471,0.121691184,0.998439931,0.9328953,-0.924204114,0.829385033
0.978636903,0.820307923,0.94712057,0.983835116,0.77955497,0.749940522,0.966406184,0.854558787,0.594815701
0.996912835,0.995468105,0.99006029,0.999947498,0.933761652,0.968282584,0.999199991,0.997608805,0.953723744
0.997172095,0.822201292,0.967413918,0.99986269,0.974837763,0.992586621,0.999888432,0.978318825,0.998598428
0.537930333,0.999044428,0.998403077,0.979749815,0.999691481,0.99735198,0.942269001,0.999974685,0.999817239
0.998968331,0.94404613,-0.214395318,0.993486379,0.960343824,0.849940774,0.992754161,0.951135463,0.931606664
0.982234237,0.999047882,0.002653007,0.986516763,0.999104073,0.938775436,0.995002672,0.999632908,0.951480118
0.99018902,0.967226217,0.999522795,0.989385472,0.985958234,0.999900189,0.912772735,0.846401123,0.999968608
0.378052145,0.927575764,0.879346181,0.388980433,0.953783778,0.870879199,0.859553429,0.93400158,0.970864971
0.29611248,0.998424002,0.998553308,0.250061757,0.999264775,0.997876244,0.978967188,0.997766563,0.998993507
0.891643624,0.998837376,0.734654121,0.885116082,0.999712503,0.953209031,0.986803907,0.997147978,0.917458545
0.999220228,0.989208784,-0.170427145,0.996796729,0.999748964,0.813900204,0.999713518,0.999901042,0.999224595
0.120885366,0.999903688,0.999773448,0.539532966,0.998834199,0.999944154,0.921200283,0.996918503,0.999927257
0.714478471,0.998053648,-0.033228519,0.915920459,0.998815841,0.298993493,0.999516478,0.998813798,0.947921126
0.997078299,0.999708889,0.965611135,0.981181076,0.999691465,0.999935248,0.996026794,0.9999921,0.99983244
0.836307623,0.956513673,-0.315215612,0.921046673,0.996550516,0.326395549,0.826819529,0.995610916,0.989866014
0.276296619,0.598469996,0.398916636,0.91156712,0.884926123,0.995054622,0.997379909,0.994294672,0.965344111
0.420303243,0.949330086,0.993249644,0.880622012,0.950842798,0.999619582,0.976702109,0.984574543,0.999359188
0.999803163,0.999146681,-0.522044975,0.999988999,0.999678982,0.970121492,0.999004093,0.999260317,0.700998959
0.899411819,0.84688933,0.641484747,0.925934639,0.99044251,0.993645359,0.999543318,0.999144013,0.999642837
-0.134500191,0.986345845,0.992673556,-0.014282346,0.956361326,0.997911577,0.506536765,0.663833176,0.998930381
0.184585429,0.919406657,0.924912932,-0.413834634,0.785747357,0.925935872,0.782350695,0.978268821,0.946256932
0.838245893,-0.004400521,0.129570408,0.950354259,-0.884749,0.124999492,0.951057606,0.705050524,0.932868721
0.961583727,0.782958426,0.295327343,0.975108207,0.994629211,0.686932345,0.981649595,0.909031124,0.901710671
0.928277933,0.897047316,0.999954382,0.773687019,0.999779314,0.999891436,0.944113291,0.998520807,0.999965485
0.772970388,0.999345401,0.999938058,0.582350746,0.999804913,0.999674153,0.678207502,0.998887145,0.999910484
0.980760811,0.454346939,0.869406979,0.753922573,0.994903218,0.188915117,0.978525922,0.949949168,0.813294111
0.471034491,0.928840071,-0.026471616,0.596189412,0.985363456,0.889903555,0.646417856,0.995870327,0.98236408
0.111196051,-0.232003236,-0.380878299,0.399056143,0.651376051,-0.397330386,0.610573833,0.992451559,-0.225718504
-0.142727792,0.945017881,0.969735828,0.905174726,0.997053885,0.976128071,0.934510712,0.997930919,0.967958338
0.999603582,0.281146185,0.945851713,0.999882779,0.996873792,0.977759977,0.999333455,0.845340502,0.919688136
